bin_start	bins	error_rate	total_phased	total_vars
0	[0,2000)	653.9606077256242	2123279	2170249
2000	[2000,4000)	86.18431333266552	149662	155490
4000	[4000,6000)	25.51168044223563	37603	39997
6000	[6000,8000)	16.318140382862353	16440	17901
8000	[8000,10000)	11.151312455660282	9857	11003
10000	[10000,12000)	9.11753018493046	6535	7457
12000	[12000,14000)	5.775646371976648	4791	5540
14000	[14000,16000)	15.132867132867132	3705	4328
16000	[16000,18000)	4.727148703956344	2928	3465
18000	[18000,20000)	8.330208777162335	2340	2793
20000	[20000,22000)	3.6386292834890965	1923	2336
22000	[22000,24000)	4.962914769030579	1533	1907
24000	[24000,26000)	5.060674157303371	1331	1689
26000	[26000,28000)	3.89507299270073	1093	1423
28000	[28000,30000)	2.659064994298746	875	1166
30000	[30000,inf)	95.03401360544218	5232	8382
